countrycode,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,2417.6498300000003,945.4093330000002,,1872.2609900000002,2242.3830300000004,1087.68467,,1580.4934700000003,1525.85145,881.4885300000002,1523.7894900000001,2395.99913,881.4885300000002,2023.8152300000002,1357.8016100000002,2596.8342300000004,881.4885300000002,1424.8153700000003,2876.43613,1093.87055,881.4885300000002,1668.12684,,1237.1768800000002,1991.33923,2666.1161300000003,1340.2749400000002,1046.4454400000002,1051.6003500000002,1612.45386,1226.8670700000002,1166.0392200000001,,1232.0219800000002,1825.7638000000002,1626.88758,3207.38113,4916.74703,2831.07303,1494.9220600000003,1766.06995,1616.5777600000001,1371.2043500000002,,,,1278.4161100000001,881.4885300000002,881.4885300000002,2231.04223,1867.1060800000002,881.4885300000002,1519.66559,1774.3178100000002,1216.5572600000003,2122.78933,879.4265686000002,881.4885300000002,881.4885300000002,2415.58773,881.4885300000002,1271.1992200000002,881.4885300000002,,1149.5435200000002,2245.47593,881.4885300000002,1484.6122500000001,1940.3056300000003,,2004.2265300000004,1374.2973100000002,1659.8789700000002,1969.1732300000003,881.4885300000002,2732.09893,,1443.3729900000003,,1219.6502100000002,1214.4953000000003,1443.3729900000003,881.4885300000002,1637.1973900000003,881.4885300000002,1445.4350000000002,,1622.4543500000002,1219.6502100000002,1765.0390100000004,2060.9304300000003,1556.78089,1270.1682500000002,881.4885300000002,1908.34533,1099.0254600000003,1300.2728900000002,881.4885300000002,1858.85822,1615.5468200000003,1252.6415800000002,1711.4279800000002,1294.9117800000001,1234.0839300000002,1729.9856600000003,1157.7913600000002,1737.2025200000003,2157.84263,1600.0821,1850.6104200000002,,1482.5503000000003,1128.9238900000003,881.4885300000002,881.4885300000002,881.4885300000002,,,1236.1458800000003,,1009.3301400000003,1649.56916,2078.4571300000002,1448.5279,1152.6364500000002,1087.68467,1536.1612600000003,1118.6140900000003,1378.4212400000001,1300.06669,1183.5658900000003,,1422.7534200000002,1893.9115300000003,1436.1561300000003,1195.9376600000003,1274.2921800000001,1095.93251,,2138.25403,2573.43103,1310.3765000000003,881.4885300000002,1010.3611200000003,1124.7999800000002,,1342.3369200000002,1374.2973100000002,2678.28173,1438.21808,1565.0287500000002,1531.00635,1608.3299000000002,1783.5966200000003,881.4885300000002,1356.7706300000002,,881.4885300000002,1536.1612600000003,1020.6709200000003,,1755.7602000000002,881.4885300000002,1675.3436900000002,1552.6569900000002,2086.7049300000003,2441.3623300000004,2167.12143,1149.5435200000002,1866.07508,2126.91323,1082.52977,1036.1356400000002,2172.27633,971.1838500000002,2047.5277300000002,1377.3902600000001,1443.3729900000003,881.4885300000002,881.4885300000002,881.4885300000002,1097.9944800000003,,1328.9341500000003,2500.12813,,2086.7049300000003,1772.2558600000002,1166.0392200000001,1379.4522100000002,1469.1475300000002,1422.7534200000002,1374.2973100000002,1793.9064400000002,1644.4142500000003,1703.1801800000003,,2659.93033,1611.4228600000001,1203.1545200000003,1561.9358000000002,1165.0082100000002,1469.1475300000002,1876.3848900000003,2840.35183,,,1474.3024300000002,1772.2558600000002,2046.4967300000003,1056.7552500000002,879.4265686000002,1778.4417200000003,1453.6828000000005,1254.7035600000002
AGO,,2902.2107,,1161.915303,,2088.76696,2458.889,1304.19064,,1796.99944,1742.35742,1097.9945,1740.2954599999998,2612.5051000000003,1097.9945,2240.3212000000003,1574.3075800000001,2813.3402,1097.9945,1641.3213400000002,3092.9421,1310.37652,1097.9945,1884.6328099999998,,1453.6828500000001,2207.8451999999997,2882.6221,1556.78091,1262.9514100000001,1268.10632,1828.95983,1443.37304,1382.54519,,1448.5279500000001,2042.2697699999999,1843.39355,3423.8871,5133.253,3047.5789999999997,1711.42803,1982.57592,1833.0837299999998,1587.7103200000001,,,,1494.92208,1097.9945,1097.9945,2447.5482,2083.61205,1097.9945,1736.17156,1990.8237800000002,1433.06323,2339.2952999999998,1095.9325386,1097.9945,1097.9945,2632.0937000000004,1097.9945,1487.7051900000001,1097.9945,,1366.0494899999999,2461.9818999999998,1097.9945,1701.11822,2156.8116,,2220.7325,1590.80328,1876.38494,2185.6792,1097.9945,2948.6049000000003,,1659.87896,,1436.15618,1431.00127,1659.87896,1097.9945,1853.70336,1097.9945,1661.94097,,1838.9603200000001,1436.15618,1981.5449800000001,2277.4364,1773.2868599999997,1486.6742199999999,1097.9945,2124.8513000000003,1315.53143,1516.77886,1097.9945,2075.3641900000002,1832.0527900000002,1469.1475500000001,1927.93395,1511.41775,1450.5899,1946.4916300000002,1374.2973299999999,1953.7084900000002,2374.3486000000003,1816.58807,2067.11639,,1699.05627,1345.42986,1097.9945,1097.9945,1097.9945,,,1452.65185,,1225.83611,1866.0751299999997,2294.9631,1665.03387,1369.1424200000001,1304.19064,1752.66723,1335.12006,1594.92721,1516.57266,1400.07186,,1639.2593900000002,2110.4175,1652.6621,1412.44363,1490.79815,1312.43848,,2354.76,2789.937,1526.88247,1097.9945,1226.86709,1341.30595,,1558.8428900000001,1590.80328,2894.7877,1654.72405,1781.53472,1747.51232,1824.8358699999999,2000.10259,1097.9945,1573.2766000000001,,1097.9945,1752.66723,1237.17689,,1972.2661699999999,1097.9945,1891.8496599999999,1769.16296,2303.2109,2657.8683,2383.6274000000003,1366.0494899999999,2082.58105,2343.4192000000003,1299.03574,1252.6416100000001,2388.7823,1187.68982,2264.0337,1593.89623,1659.87896,1097.9945,1097.9945,1097.9945,1314.50045,,1545.44012,2716.6341,,2303.2109,1988.7618300000001,1382.54519,1595.95818,1685.6535,1639.2593900000002,1590.80328,2010.41241,1860.9202200000002,1919.68615,,2876.4363000000003,1827.9288299999998,1419.66049,1778.44177,1381.5141800000001,1685.6535,2092.89086,3056.8577999999998,,,1690.8084,1988.7618300000001,2263.0027,1273.26122,1095.9325386,1994.9476900000002,1670.1887700000002,1471.20953
ALB,,1845.455427,1577.400527,,,1032.011687,1402.1337270000001,247.435367,,740.2441670000001,685.6021470000001,41.239227,683.5401869999998,1555.749827,41.239227,1183.565927,517.552307,1756.584927,41.239227,584.5660670000002,2036.186827,253.621247,41.239227,827.8775369999998,,396.92757700000004,1151.089927,1825.866827,500.02563699999996,206.19613700000005,211.351047,772.204557,386.61776699999996,325.78991699999995,,391.77267700000004,985.514497,786.638277,2367.131827,4076.497727,1990.823727,654.672757,925.820647,776.3284569999998,530.955047,,,,438.16680699999995,41.239227,41.239227,1390.792927,1026.856777,41.239227,679.416287,934.0685070000001,376.307957,1282.540027,39.1772656,41.239227,41.239227,1575.3384270000001,41.239227,430.949917,41.239227,,309.294217,1405.226627,41.239227,644.3629470000001,1100.056327,,1163.977227,534.048007,819.629667,1128.923927,41.239227,1891.849627,,603.123687,,379.40090699999996,374.245997,603.123687,41.239227,796.948087,41.239227,605.185697,,782.205047,379.40090699999996,924.7897070000001,1220.681127,716.5315869999998,429.918947,41.239227,1068.096027,258.776157,460.023587,41.239227,1018.608917,775.2975170000001,412.39227700000004,871.178677,454.66247699999997,393.83462699999995,889.7363570000002,317.542057,896.9532170000002,1317.593327,759.832797,1010.361117,,642.300997,288.674587,41.239227,41.239227,41.239227,,,395.896577,,169.080837,809.3198569999998,1238.207827,608.278597,312.387147,247.435367,695.911957,278.364787,538.171937,459.81738700000005,343.316587,,582.5041170000001,1053.662227,595.906827,355.688357,434.042877,255.683207,,1298.004727,1733.1817270000001,470.127197,41.239227,170.111817,284.550677,,502.087617,534.048007,1838.032427,597.968777,724.779447,690.7570470000001,768.080597,943.347317,41.239227,516.521327,,41.239227,695.911957,180.421617,,915.510897,41.239227,835.094387,712.407687,1246.455627,1601.113027,1326.872127,309.294217,1025.825777,1286.663927,242.280467,195.886337,1332.027027,130.934547,1207.278427,537.140957,603.123687,41.239227,41.239227,41.239227,257.745177,,488.684847,1659.878827,,1246.455627,932.0065570000002,325.78991699999995,539.202907,628.898227,582.5041170000001,534.048007,953.657137,804.1649470000002,862.930877,,1819.681027,771.1735569999998,362.905217,721.686497,324.758907,628.898227,1036.135587,2000.102527,,,634.053127,932.0065570000002,1206.247427,216.505947,39.1772656,938.1924170000002,613.4334970000002,414.454257
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,,2464.0438400000003,2195.98894,723.7484430000002,,,2020.7221400000003,866.0237800000002,,1358.8325800000002,1304.1905600000002,659.8276400000002,1302.1286,2174.33824,659.8276400000002,1802.1543400000003,1136.1407200000003,2375.1733400000003,659.8276400000002,1203.1544800000004,2654.77524,872.2096600000002,659.8276400000002,1446.46595,,1015.5159900000002,1769.6783400000002,2444.4552400000002,1118.6140500000001,824.7845500000003,829.9394600000002,1390.7929700000002,1005.2061800000001,944.3783300000002,,1010.3610900000002,1604.10291,1405.2266900000002,2985.7202400000006,4695.08614,2609.4121400000004,1273.2611700000002,1544.4090600000002,1394.91687,1149.5434600000003,,,,1056.7552200000002,659.8276400000002,659.8276400000002,2009.3813400000001,1645.4451900000004,659.8276400000002,1298.0047000000002,1552.6569200000004,994.8963700000002,1901.1284400000002,657.7656786000002,659.8276400000002,659.8276400000002,2193.92684,659.8276400000002,1049.5383300000003,659.8276400000002,,927.8826300000002,2023.8150400000002,659.8276400000002,1262.9513600000002,1718.6447400000002,,1782.5656400000003,1152.6364200000003,1438.21808,1747.5123400000002,659.8276400000002,2510.43804,,1221.7121000000002,,997.9893200000001,992.8344100000002,1221.7121000000002,659.8276400000002,1415.5365000000002,659.8276400000002,1223.7741100000003,,1400.7934600000003,997.9893200000001,1543.3781200000003,1839.2695400000002,1335.12,1048.50736,659.8276400000002,1686.6844400000002,877.3645700000002,1078.612,659.8276400000002,1637.1973300000002,1393.8859300000004,1030.9806900000003,1489.7670900000003,1073.2508900000003,1012.4230400000001,1508.3247700000004,936.1304700000002,1515.5416300000004,1936.1817400000002,1378.4212100000002,1628.9495300000003,,1260.8894100000002,907.2630000000001,659.8276400000002,659.8276400000002,659.8276400000002,,,1014.4849900000002,,787.6692500000001,1427.90827,1856.7962400000001,1226.8670100000002,930.9755600000002,866.0237800000002,1314.5003700000002,896.9532000000002,1156.7603500000002,1078.4058000000002,961.9050000000002,,1201.0925300000004,1672.2506400000002,1214.4952400000002,974.2767700000002,1052.6312900000003,874.2716200000002,,1916.5931400000002,2351.7701400000005,1088.7156100000002,659.8276400000002,788.7002300000001,903.1390900000002,,1120.6760300000003,1152.6364200000003,2456.6208400000005,1216.5571900000002,1343.3678600000003,1309.3454600000002,1386.66901,1561.9357300000001,659.8276400000002,1135.1097400000003,,659.8276400000002,1314.5003700000002,799.0100300000001,,1534.09931,659.8276400000002,1453.6828,1330.9961000000003,1865.0440400000002,2219.7014400000003,1945.4605400000003,927.8826300000002,1644.4141900000002,1905.2523400000002,860.8688800000002,814.4747500000002,1950.6154400000003,749.5229600000002,1825.8668400000001,1155.7293700000002,1221.7121000000002,659.8276400000002,659.8276400000002,659.8276400000002,876.3335900000002,,1107.2732600000002,2278.46724,,1865.0440400000002,1550.5949700000003,944.3783300000002,1157.7913200000003,1247.48664,1201.0925300000004,1152.6364200000003,1572.24555,1422.7533600000004,1481.5192900000002,,2438.26944,1389.76197,981.4936300000002,1340.27491,943.3473200000002,1247.48664,1654.7240000000002,2618.6909400000004,,,1252.64154,1550.5949700000003,1824.8358400000002,835.0943600000002,657.7656786000002,1556.7808300000004,1232.0219100000004,1033.0426700000003
ARG,,2020.72215,1752.66725,280.426753,,1207.2784100000001,,422.70209,,915.51089,860.86887,216.50595,858.8069099999998,1731.01655,216.50595,1358.83265,692.81903,1931.85165,216.50595,759.8327900000002,2211.45355,428.88797,216.50595,1003.1442599999998,,572.1943,1326.35665,2001.13355,675.29236,381.4628600000001,386.61777,947.47128,561.88449,501.05664,,567.0394,1160.78122,961.905,2542.3985500000003,4251.76445,2166.09045,829.93948,1101.08737,951.5951799999998,706.22177,,,,613.43353,216.50595,216.50595,1566.05965,1202.1235000000001,216.50595,854.68301,1109.3352300000001,551.5746800000001,1457.80675,214.4439886,216.50595,216.50595,1750.60515,216.50595,606.21664,216.50595,,484.56093999999996,1580.49335,216.50595,819.62967,1275.32305,,1339.24395,709.31473,994.89639,1304.19065,216.50595,2067.1163500000002,,778.39041,,554.66763,549.5127200000001,778.39041,216.50595,972.2148099999999,216.50595,780.45242,,957.47177,554.66763,1100.05643,1395.94785,891.7983099999998,605.18567,216.50595,1243.36275,434.04288,635.29031,216.50595,1193.87564,950.56424,587.659,1046.4454,629.9292,569.10135,1065.0030800000002,492.80877999999996,1072.2199400000002,1492.86005,935.09952,1185.62784,,817.56772,463.94131000000004,216.50595,216.50595,216.50595,,,571.1633,,344.34756000000004,984.5865799999998,1413.47455,783.54532,487.65387,422.70209,871.17868,453.63151000000005,713.43866,635.08411,518.58331,,757.77084,1228.92895,771.17355,530.9550800000001,609.3096,430.94993,,1473.27145,1908.44845,645.39392,216.50595,345.37854000000004,459.8174,,677.3543400000001,709.31473,2013.29915,773.2355,900.04617,866.02377,943.34732,1118.61404,216.50595,691.78805,,216.50595,871.17868,355.68834000000004,,1090.77762,216.50595,1010.3611099999999,887.67441,1421.72235,1776.37975,1502.13885,484.56093999999996,1201.0925,1461.93065,417.54719,371.15306,1507.29375,306.20127,1382.54515,712.40768,778.39041,216.50595,216.50595,216.50595,433.0119,,663.9515700000001,1835.14555,,1421.72235,1107.27328,501.05664,714.46963,804.16495,757.77084,709.31473,1128.92386,979.4316700000002,1038.1976,,1994.94775,946.4402799999998,538.1719400000001,896.95322,500.02563,804.16495,1211.40231,2175.36925,,,809.31985,1107.27328,1381.51415,391.77267,214.4439886,1113.4591400000002,788.7002200000002,589.72098
ARM,,2061.96138,1793.90648,321.665983,,1248.51764,1618.6396800000002,,,956.75012,902.1081,257.74518,900.0461399999998,1772.25578,257.74518,1400.07188,734.05826,1973.0908800000002,257.74518,801.0720200000002,2252.69278,470.1272,257.74518,1044.3834899999997,,613.43353,1367.5958799999999,2042.3727800000001,716.53159,422.70209000000006,427.85699999999997,988.71051,603.12372,542.2958699999999,,608.27863,1202.02045,1003.14423,2583.63778,4293.00368,2207.32968,871.17871,1142.3265999999999,992.8344099999998,747.461,,,,654.6727599999999,257.74518,257.74518,1607.2988799999998,1243.36273,257.74518,895.92224,1150.57446,592.8139100000001,1499.0459799999999,255.6832186,257.74518,257.74518,1791.84438,257.74518,647.45587,257.74518,,525.80017,1621.7325799999999,257.74518,860.8689,1316.56228,,1380.4831800000002,750.55396,1036.13562,1345.4298800000001,257.74518,2108.35558,,819.62964,,595.90686,590.7519500000001,819.62964,257.74518,1013.45404,257.74518,821.69165,,998.711,595.90686,1141.2956600000002,1437.1870800000002,933.0375399999998,646.4249,257.74518,1284.60198,475.28211,676.52954,257.74518,1235.1148699999999,991.8034700000001,628.89823,1087.68463,671.16843,610.34058,1106.24231,534.04801,1113.45917,1534.09928,976.33875,1226.86707,,858.80695,505.18054,257.74518,257.74518,257.74518,,,612.4025300000001,,385.58679,1025.8258099999998,1454.71378,824.78455,528.8931,463.94132,912.41791,494.87074,754.6778899999999,676.32334,559.82254,,799.01007,1270.1681800000001,812.41278,572.1943100000001,650.54883,472.18916,,1514.5106799999999,1949.68768,686.63315,257.74518,386.61777,501.05663000000004,,718.59357,750.55396,2054.53838,814.47473,941.2854,907.263,984.58655,1159.85327,257.74518,733.02728,,257.74518,912.41791,396.92757,,1132.01685,257.74518,1051.60034,928.91364,1462.9615800000001,1817.6189800000002,1543.37808,525.80017,1242.3317299999999,1503.16988,458.78642,412.39229,1548.53298,347.4405,1423.78438,753.6469099999999,819.62964,257.74518,257.74518,257.74518,474.25113,,705.1908000000001,1876.3847799999999,,1462.9615800000001,1148.51251,542.2958699999999,755.70886,845.40418,799.01007,750.55396,1170.16309,1020.6709000000002,1079.43683,,2036.18698,987.6795099999998,579.4111700000001,938.19245,541.26486,845.40418,1252.64154,2216.60848,,,850.55908,1148.51251,1422.75338,433.01189999999997,255.6832186,1154.69837,829.9394500000002,630.96021
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,2491.88032,2223.82542,751.584923,,1678.43658,2048.5586200000002,893.86026,,,1332.02704,687.66412,1329.96508,2202.17472,687.66412,1829.99082,1163.9772,2403.00982,687.66412,1230.99096,2682.61172,900.04614,687.66412,1474.3024299999997,,1043.35247,1797.5148199999999,2472.29172,1146.45053,852.62103,857.77594,1418.62945,1033.04266,972.2148099999999,,1038.19757,1631.93939,1433.06317,3013.55672,4722.92262,2637.24862,1301.0976500000002,1572.24554,1422.75335,1177.37994,,,,1084.5917,687.66412,687.66412,2037.2178199999998,1673.28167,687.66412,1325.84118,1580.4934,1022.7328500000001,1928.96492,685.6021586,687.66412,687.66412,2221.76332,687.66412,1077.37481,687.66412,,955.71911,2051.65152,687.66412,1290.78784,1746.4812200000001,,1810.4021200000002,1180.4729,1466.05456,1775.3488200000002,687.66412,2538.27452,,1249.5485800000001,,1025.8258,1020.6708900000001,1249.5485800000001,687.66412,1443.37298,687.66412,1251.61059,,1428.62994,1025.8258,1571.2146000000002,1867.1060200000002,1362.9564799999998,1076.34384,687.66412,1714.52092,905.20105,1106.44848,687.66412,1665.03381,1421.72241,1058.81717,1517.60357,1101.08737,1040.25952,1536.16125,963.96695,1543.37811,1964.01822,1406.25769,1656.78601,,1288.7258900000002,935.0994800000001,687.66412,687.66412,687.66412,,,1042.32147,,815.5057300000001,1455.7447499999998,1884.63272,1254.7034899999999,958.81204,893.86026,1342.3368500000001,924.7896800000001,1184.59683,1106.24228,989.74148,,1228.92901,1700.0871200000001,1242.3317200000001,1002.1132500000001,1080.46777,902.1081,,1944.4296199999999,2379.60662,1116.5520900000001,687.66412,816.5367100000001,930.9755700000001,,1148.51251,1180.4729,2484.45732,1244.39367,1371.20434,1337.18194,1414.50549,1589.77221,687.66412,1162.94622,,687.66412,1342.3368500000001,826.8465100000001,,1561.93579,687.66412,1481.51928,1358.83258,1892.8805200000002,2247.53792,1973.29702,955.71911,1672.25067,1933.08882,888.70536,842.31123,1978.45192,777.3594400000001,1853.70332,1183.56585,1249.5485800000001,687.66412,687.66412,687.66412,904.17007,,1135.10974,2306.30372,,1892.8805200000002,1578.43145,972.2148099999999,1185.6278,1275.32312,1228.92901,1180.4729,1600.08203,1450.58984,1509.3557700000001,,2466.10592,1417.59845,1009.3301100000001,1368.11139,971.1838,1275.32312,1682.56048,2646.52742,,,1280.47802,1578.43145,1852.6723200000001,862.93084,685.6021586,1584.61731,1259.8583900000003,1060.87915
