countrycode,tariff
ABW,0.1002
AFG,0.070199996
AGO,0.1024
ALB,0.0111
AND,
ARE,0.029899999
ARG,0.0735
ARM,0.029300001000000006
ASM,
ATG,0.12029999
AUS,0.018999999
AUT,0.0189
AZE,0.051899999
BDI,0.061300002
BEL,0.0189
BEN,0.17219999
BFA,0.095899999
BGD,0.1182
BGR,0.0189
BHR,0.033
BHS,0.1866
BIH,0.012200001
BLR,0.0197
BLZ,0.1004
BMU,0.1867
BOL,0.047499999
BRA,0.082700007
BRB,0.14210001
BRN,0.0046000001
BTN,0.028199999
BWA,0.0055999998
CAF,0.1388
CAN,0.0165
CHE,0.012999999
CHI,
CHL,0.0063999998
CHN,0.045200001
CIV,0.081599995
CMR,0.127
COD,0.1019
COG,0.1155
COL,0.065399997
COM,0.0504
CPV,0.1089
CRI,0.0173
CUB,0.0766
CUW,
CYM,
CYP,0.0189
CZE,0.0189
DEU,0.0189
DJI,0.17559999
DMA,0.1372
DNK,0.0189
DOM,0.060399998
DZA,0.082700007
ECU,0.0638
EGY,0.070799999
ERI,
ESP,0.0189
EST,0.0189
ETH,0.12140001
FIN,0.0189
FJI,0.1112
FRA,0.0189
FRO,
FSM,
GAB,0.1454
GBR,0.0189
GEO,0.003
GHA,0.099600002
GIB,
GIN,0.1191
GMB,0.1266
GNB,0.098999999
GNQ,0.15630001
GRC,0.0189
GRD,0.1192
GRL,
GTM,0.0139
GUM,
GUY,0.067299999
HKG,0.0
HND,0.027899999
HRV,0.0189
HTI,0.065499999
HUN,0.0189
IDN,0.023699999
IMN,
IND,0.073200002
IRL,0.0189
IRN,0.1523
IRQ,
ISL,0.014199999
ISR,0.028299998
ITA,0.0189
JAM,0.10520001
JOR,0.039799999
JPN,0.023
KAZ,0.048499998
KEN,0.1147
KGZ,0.032000002
KHM,0.048499998
KIR,
KNA,0.1229
KOR,0.0572
KWT,0.0296
LAO,0.1419
LBN,0.0339
LBR,0.12180001
LBY,
LCA,0.078400001
LIE,
LKA,0.044299997
LSO,0.027899999
LTU,0.0189
LUX,0.0189
LVA,0.0189
MAC,0.0
MAF,
MAR,0.027899999
MCO,
MDA,0.0339
MDG,0.093500003
MDV,0.1113
MEX,0.044499997
MHL,
MKD,0.0121
MLI,0.0647
MLT,0.0189
MMR,0.045600001
MNE,0.026300002000000003
MNG,0.045700002
MNP,
MOZ,0.041700002
MRT,0.0867
MUS,0.0068000001
MWI,0.042399999
MYS,0.0128
NAM,0.0089999996
NCL,
NER,0.1177
NGA,0.08220000599999999
NIC,0.02
NLD,0.0189
NOR,0.0352
NPL,0.12310001
NRU,
NZL,0.013200001
OMN,0.018999999
PAK,0.095799997
PAN,0.054099999
PER,0.017999999
PHL,0.0231
PLW,0.076899998
PNG,0.025899999
POL,0.0189
PRI,
PRK,
PRT,0.0189
PRY,0.044299997
PSE,
PYF,0.050799999000000005
QAT,0.0337
ROU,0.0189
RUS,0.0308
RWA,0.097499996
SAU,0.044499997
SDN,0.1195
SEN,0.1164
SGP,0.00069999998
SLB,0.35650003
SLE,0.1031
SLV,0.017899999
SMR,
SOM,
SRB,0.012200001
SSD,
STP,0.090700001
SUR,0.076099999
SVK,0.0189
SVN,0.0189
SWE,0.0189
SWZ,0.0098999999
SXM,
SYC,0.028199999
SYR,0.1418
TCA,
TCD,0.1392
TGO,0.1141
THA,0.0352
TJK,0.071800001
TKM,0.087299995
TLS,0.025
TON,0.0572
TTO,0.086300001
TUN,0.0394
TUR,0.0319
TUV,0.015900001
TZA,0.072800003
UGA,0.0788
UKR,0.019299999
URY,0.047899999000000006
USA,0.016900001
UZB,0.087299995
VCT,0.07150000299999999
VEN,0.1067
VGB,
VIR,
VNM,0.031400003
VUT,0.0484
WSM,0.1028
XKX,
YEM,0.051399998
ZAF,0.0438
ZMB,0.039500002
ZWE,0.0572
